sent_id	sentence
97	Budget allocation from Glisan has been postponed.
98	But I believe answer will be yes.
99	But I hope to see you at Kari's house.
100	But I would suspect that when Ricky can play, he'll play again.
101	But both reports were denied by the southern leadership.
102	But he added the list given was still incomplete.
103	But he couldn't keep it up, coming home in 38.
104	But he is expected to play against the Raiders on Sunday night.
105	But he vows to support any drivers who support the Pacers.
106	But his father likes what he sees from his son's engine.
107	But it takes time.
108	But let me know which ones you don't get.
109	But thank you for the offer.
110	But the Chiefs might depend on the run, so his numbers may be limited.
111	But the pact has not entirely calmed the nation's nerves.
112	But there have been so many changes in plans that I'm not surprised.
113	But they played down the prospect of a repeat performance.
114	But we should pay them the 4500.
115	Call me anytime for information.
116	Call me if you have any questions.
117	Call me to give me a heads up.
118	Can we have them until we move?
119	Can you bring these to 49C1?
120	Can you call me at home?
121	Can you do the Gallup contracts as well?
122	Can you get me the Calger letter done?
123	Can you get with Mary and make sure?
124	Can you help get this cleared up?
125	Can you help me here?
126	Can you help with this one?
127	Can you please review and get back to Tim?
128	Can you resend me the Doyle email from last week?
129	Can you rough out a slide on rating agencies?
130	Can you supplement the answer to the visa question?
131	Can you try this again?
132	Can you wait until Monday?
133	Chad thought we were on a treasure hunt.
134	Chambers is still too inconsistent to start for most Fantasy teams.
135	Charlie Garner will once again be Oakland's feature back.
136	Chase back office and their restart plan updates individually.
137	Check with Vince Strohmeyer.
138	China replaced three ministers on Thursday.
139	Chinese President defended the military crackdown on protesters.
140	Chris Foster is in!
141	Clinton attended the US college basketball finals.
142	Clinton has pressed for a multilateral lifting of the embargo.
143	Clinton on the other hand, had backed a plan to convince Europe.
144	Clinton said Tuesday he would make an announcement by Thursday.
145	Coal switching to NG and power guys stimulating demand.
146	Come join the fun.
147	Confirmed with Mark Taylor.
148	Construction on the complex will begin this year.
149	Contact Lisa Mellencamp on any issues regarding pending litigation.
150	Could you please let me know as soon as possible.
151	Could you see where this stands?
152	Could you try ringing her?
153	Couldn't risk the uncertainty.
154	Count me out for this round.
155	Crestone won't have final measurement until next week.
156	Currently, we are focusing our resources on domestic sites.
157	David, Cindy and Mary will each report to the Office of the Chairman.
158	Davis was listed as questionable on the weekly injury report.
159	Dayne and another second tier RB for one of the above.
160	Deportivo have won nothing in their history.
161	Derivatives are not new.
162	Did he get a signing bonus?
163	Did we get ours back?
164	Did we plan that?
165	Did you differ from me?
166	Did you ever hear anything?.
167	Did you get this?
168	Did you mean Oxley?
169	Did you not read my first email?
170	Did you see Laura's message.?
171	Did you set up my corporate account for me?
172	Did you talk to Ava this morning?
173	Did you tell Steve?
174	Diplomats are predicting that the embargo will remain in force.
175	Disney was great and I've been to eight baseball games.
176	Do not send small, unsuspecting children to check on my progress.
177	Do we have New York sorted out?
178	Do we have anyone in Portland?
179	Do we know what we need?
180	Do we need to discuss?
181	Do we need to do anything here?
182	Do you and George have a thing going?
183	Do you have a number for him?
184	Do you have it yet?.
185	Do you have that information yet?.
186	Do you know anything?
187	Do you know if this has been done yet?
188	Do you need it today?
189	Do you need to be there?
190	Do you still need me to sign something?
191	Do you want to eat lunch somewhere before?
192	Do you want to fax it to my hotel?
193	Doctors gave him 10 years to live at most.
194	Does Dan know about Julia changing groups?
195	Does Friday at 10 work for you?
196	Don't bother picking him up.
197	Don't bother to start him.
198	Don't expect Sanders to play anytime soon.
199	Don't forget the wood.
200	Don't know how that happened.
201	Don't make me pull tapes on whether you understood our fee.
202	Don't they have some conflicts here?
203	Don't use Bennett this week.
204	Don't use him this week.
205	Donovan McNabb is one of my starters.
206	Doug Chapman will likely get the start in Bennett s absence.
207	Drop him if he was on your Fantasy roster.
208	Drop him unless you play in a keeper league.
209	ENA is not purchasing Westport's gas at this time.
210	Eastwood dominated proceedings with his humour.
211	Ed Terry is in there twice.
212	Edwards said Chrebet passed the various tests and scans he was given.
213	Els rocketed to his first European Tour victory back.
214	Email the consent to me.
215	Emerson Fittipaldi has never had an engine this good.
216	England star Paul Gascoigne was one of the recipients of the loans.
217	Ernie Els was back to his best.
218	Estrada recently returned from Johannesburg.
219	Europe has lost a great ally.
220	Evaluating a lease offer on Sonoran project.
221	Even if it were approved, Clinton could veto the measure.
222	Every Enron employee has an internet email address.
223	Expect him to be the Bears featured back for the rest of the year.
224	Expect him to produce good numbers against New England.
225	Expect much better numbers on James  home turf this week.
226	FYI on the demand letter I signed earlier.
227	FYI, would she meet my requirements?
228	Fares shown are roundtrip.
229	Feel free to use Robinson if he doesn't suffer a setback.
230	Finally, I would delete the paragraph about lawyers.
231	Following are my comments.
232	For safety reasons, the turkey will be carved in a private ceremony.
233	For those of you that have not signed up, please join us for the Walk.
234	For those of you who have not paid please get your money tome soon.
235	Foreign insurance firms can file applications to the ministry.
236	Foreigners have now fled the country since fighting erupted.
237	France also was prepared to participate in a UN multinational force.
238	France would not join a US military invasion of Haiti.
239	French actress Juliette Binoche declared the festival open.
240	Fuel is retained in kind from the shippers.
241	Fuel surcharges, if applicable are included in the fees listed.
242	Geez, I sound pathetic.
243	Genaro, we have fixed the pricing in our system.
244	Get with David Lund.
245	Get with Mary for format.
246	Giants due to an ankle injury.
247	Giants, but he didn't finish it.
248	Give it some time.
249	Go ahead and notify.
250	Go for the dollars.
251	Gold fell 1.90 dollars from Wednesday's closing price.
252	Good luck this week, I can't see any sure things out there.
253	Good to know it exists.
254	Got your back while you pick up wine.
255	Had a great meeting.
256	Has Brian had his contract yet?
257	Has Dynegy made a specific request?
258	Has anyone else heard anything?
259	Has it been mentioned yet?
260	Has your 4th quarter changed?
261	Have I mentioned how much I love Houston traffic?
262	Have a good evening.
263	Have a good weekend.
264	Have a great day!
265	Have a great trip.
266	Have a safe trip!
267	Have not added Westport on yet.
268	Have you done any deals yet?
269	Have you talked to Somerholder?
270	He agrees that they are not showing the correct equation.
271	He also ruled out extending the safe areas.
272	He also suggested it would send a conflicting message to Geneva.
273	He beat world number one Greg Norman by six strokes.
274	He can be explosive, but he is also erratic.
275	He cannot be in two places at once.
276	He could ping the ball 40 yards with the outside of his foot.
277	He did not return to the contest, and is listed as day to day.
278	He did not return to the game, and is listed as day to day.
279	He did not say when that would be.
280	He disputed reports that Wheatley would be out four weeks.
281	He doesn't want to give the trading positions.
282	He extended Freudian theory into adolescence and adulthood.
283	He has developed a good on-field relationship with QB Brad Johnson.
284	He has made progress in his recovery and might play this week.
285	He has recovered from his ankle injury.
286	He is already on the job and hard at work on the issues before us.
287	He is close to full speed, says the Charlotte Observer.
288	He is expected to miss six weeks of action due to the procedure.
289	He is expected to participate in practice.
290	He is expected to play in Sunday's game and is listed as probable.
291	He is expected to play in this week's game.
292	He is expected to play when the Browns return to action next week.
293	He is here for a political meeting.
294	He is listed as day to day.
295	He is listed as probable for Monday's game against Tennessee.
296	He is listed as probable for this week's game.
297	He is listed as questionable for this week's game.
298	He is one of three Eagles who will be held out of the game.
299	He is out indefinitely and could miss the remainder of the season.
300	He is pretty tapped into it all.
301	He is recovering from a bruised left shoulder.
302	He is recovering from a left knee injury.
303	He is recovering from a sprained foot.
304	He is suffering from a strained left shoulder.
305	He left the Jets  win over Miami in the second half on October.
306	He made his mark by campaigning against hospital fraud.
307	He only gained 17 yards on nine carries in the Jaguars  previous.
308	He played goalie almost the entire game.
309	He pleaded guilty in February under an agreement with the government.
310	He quoted local Yemenis as saying that 43 people had been killed.
311	He recently also demanded the resignation of six ministers.
312	He refused to elaborate on the delay.
313	He remains a good Fantasy backup when healthy.
314	He said Telecom was still in a position of substantial protection.
315	He said he had been surprised to see his name on the list.
316	He said he saw no damage to the airport.
317	He said he was not aware he suffered from it.
318	He said he would learn more about the injury as the week progressed.
319	He said he would resist all the pressure of time deadlines.
320	He said police in Dallas were also in favor of fences.
321	He said the operating theatres were barely functioning.
322	He should still be able to play in the team's next game.
323	He started Sunday's game and had two catches for 70 yards.
324	He was in great shape last night.
325	He was our best player when he got hurt.
326	He was playing only his third event on the European Tour.
327	He was professor emeritus of human development and psychiatry.
328	He was recognized in his field as a pioneer.
329	He was replaced by Kent Graham.
330	He was very close to achieving his life's goal.
331	He will be evaluated on a day to day basis.
332	He will be re-evaluated after receiving an injection.
333	He won't be too productive if he does play.
334	He would be sorely missed by all who are striving for progress.
335	He would love anything about rocks.
336	He wrote numerous books on human development.
337	He's a questionable Fantasy player to begin with.
338	Hence the importannce of the media bidding battle in Britain.
339	Here it is again in case you didn't receive it.
340	Here's the September purchase for September.
341	Here's the new one.
342	Here's your Gas Daily pricing.
343	Hey TK, how are you doing?
344	His abilities will be limited if he does play Sunday.
345	His current status is day to day.
346	His party also has its sights on the posts of justice minister.
347	His return date is unclear.
348	His status for Thursday's game against Dallas is unclear.
349	His status for the Week 11 game against Atlanta is unclear.
350	History repeated itself last season when Tenerife beat Madrid.
351	Hope all is well.
352	Hope that all is well in Denver.
353	Hope that you have a great TG.
354	Hope this message is much better received than yesterday's.
355	Hope you guys are doing fine.
356	Hope you had a good weekend.
357	Hope your trip to Florida was good.
358	Hopefully it cheered you up a bit.
359	Hopefully this can wait until Monday.
360	Hours are listed in 24hr format central time.
361	Houston time at the Hyatt Regency.
362	How are things with you?
363	How are we handling others in that group?
364	How can we get these answers?
365	How did they get onto our floor?
366	How did you make sure it was the right set?
367	How is it going?
368	How long can you guys shop?
369	How soon do you need it?
370	How would you explain the difference between the two?
371	How's the share price?
372	However, Jeffers is too risky to start from a Fantasy perspective.
373	However, he is expected to play in this week's game.
374	However, he warrants no real Fantasy consideration at this point.
375	However, he's no better than waiver wire fodder in Fantasy Football.
376	However, he's not worth starting on your Fantasy team.
377	However, he's still expected to start in the 49ers next game on Oct.
378	I agree since I am at the bank right now.
379	I agreed terms with Greg.
380	I am all about Win-Win here.
381	I am all over it.
382	I am almost speechless.
383	I am at the lake.
384	I am fine with this.
385	I am freaking out!
386	I am having problems reconciling with Theresa's invoices.
387	I am hoping to complete them today or tomorrow morning.
388	I am in 50M if you need me.
389	I am looking forward to the salad.
390	I am meeting with my direct reports at 1 to work on recommendations.
391	I am monitoring email.
392	I am not aware of any.
393	I am not concerned with the Brown money.
394	I am now officially a Blackberry addict.
395	I am on a plane, sorry.
396	I am on my way.
397	I am out of town on business tonight.
398	I am out of town on business.
399	I am out of town until Friday.
400	I am really not wanting to come back.
401	I am snowed under and out of the office.
402	I am sorry you had to come in.
403	I am staying at a Hotel.
404	I am surprised such an incident could not have been prevented.
405	I am too, and we are working very hard to turn it around.
406	I am trying again.
407	I am unavailable for the 1PM meeting.
408	I am walking in now.
409	I am working on the November producers today as a matter of fact.
410	I am working with Mary Joyce on that right now.
411	I appreciate you moving so quickly on this.
412	I believe she gave a television interview in Britain.
413	I bet you it will be a strong motor all day, though.
414	I called my husband at work today just to tell him I loved him.
415	I can be there within the hour.
416	I can fill you in on more details later.
417	I can get them.
418	I can return earlier.
419	I can review afterwards and get back to you tonight.
420	I can't seem to find it.
421	I can't tell you when he'll be back.
422	I cannot figure out where these prices are coming from.
423	I changed that in one prior draft.
424	I decided that I am going to stay here!
425	I didn t mean to get you so bent out of shape.
426	I didn't expect them to hand over the sites.
427	I didn't hear from Ginger this week.
428	I didn't think we had it.
429	I didn't understand we were borrowing them.
430	I do not want to repeat.
431	I don't have Lost Creek yet - hopefully before you leave.
432	I don't have the distraction of taking care of Mimi.
433	I don't know that I will be back Monday.
434	I don't think we need to make a big deal of this.
435	I don't want to even see it in kilometers.
436	I don't want to let my nanny go home if you think you need me.
437	I dont think any country wants to step out ahead and take the lead.
438	I doubt that it is forecasted.
439	I encourage each of you to attend or tune in tomorrow.
440	I forgot one person when we spoke on Friday.
441	I got the impression that this is a message for internal use.
442	I guess the next time I'll see you is for Superbowl.
443	I had a last minute meeting come up.
444	I hadn't done that for a while - too busy, I guess.
445	I have 2 different ones.
446	I have 30 minutes then.
447	I have a high level in my office.
448	I have a request.
449	I have a touch of food poisoning this morning but I may be in later.
450	I have already approved and forwarded.
451	I have an AM doctor's appointment.
452	I have an electric knife.
453	I have been in contact with him, and he is familiar with the issues.
454	I have been very steady and I should have had a much better score.
455	I have forwarded to Kelly.
456	I have no personal transactions with any Enron entity.
457	I have other things to worry about!
458	I have rates and capacity utilization information ready.
459	I have received your messages and will respond accordingly.
460	I have some more data coming.
461	I have the option of starting Jim Miller or picking up Chris Weinke.
462	I haven't adapted really.
463	I haven't had a conversation on this since 1999.
464	I haven't really done any studying for it.
465	I haven't seen it yet.
466	I haven't visited with Stan lately.
467	I heard it was at 5?
468	I hope everything worked out okay with your rent.
469	I hope he is having a fantastic time.
470	I hope that you find these communications informative.
471	I hope this answers your question.
472	I hope this is the last revision for September.
473	I hope we'll get the game here in Denver.
474	I hope you are feeling better.
475	I hope you feel better.
476	I hope you went.
477	I just faxed copies of the invoices to you.
478	I just finished faxing everything.
479	I just had my head in the clouds.
480	I just tracked down Steve.
481	I just want to make sure we're both on the same schedule.
482	I know he's working on it.
483	I know my way around the hospital better than I do the stadium.
484	I know several who work there.
485	I know you changed it.
486	I left a message.
487	I like Nick and Everett.
488	I liked your flag.
489	I love you too.
490	I may take the opportunity to run some errands.
491	I meant to try and explain, not to redo.
492	I met my neighbors in the park across the street tonight.
493	I might have something at the office.
494	I need a little more stability in my work environment.
495	I need to go to Stan's office.
496	I need to link them up to the Tagg deal.
497	I need to talk to Tom Carlton, their decision-maker.
498	I need your help in putting together a new list.
499	I need your home cell or whatever.
500	I plan to be in the office tomorrow.
501	I see some volume reversing in the system.
502	I sent it to her.
503	I short paid the August invoice.
504	I should have more info by our meeting this afternoon.
505	I spoke with Greg.
506	I spoke with Lara Robinson this morning.
507	I still believe a September 30 closing is unrealistic.
508	I talked to Duran.
509	I think Citation should be good now.
510	I think FMV is probably less than fifty.
511	I think I have given the gaffer a decision to make.
512	I think I played three different courses.
513	I think I'm OK.
514	I think Tim wants to move quickly.
515	I think in this case specific is better.
516	I think it should be fixed now.
517	I think that Pam Butler called him.
518	I think that is the right answer.
519	I think that we should enforce the agreement.
520	I think that will help.
521	I think these will be just fine.
522	I think this move will not overcome the problem.
523	I think those are the right dates.
524	I think we are dong OK.
525	I think we should consider this request.
526	I think we should put a number on the table.
527	I think your outlined measures sound fine.
528	I thought it had gone to all of Enron.
529	I thought you left to go get breakfast.
530	I thought you needed him to carry two people.
531	I thought you were on 6.
532	I told Gary you could make the call.
533	I told you silly.
534	I tried that to no avail.
535	I vote for the latter.
536	I want to compare the two.
537	I want to finish the rest of the year.
538	I want to remind you about our All-Employee Meeting this Tuesday, Oct.
539	I want to thank everyone involved.
540	I wanted to get all of this out of the way before my move.
541	I wanted to go drinking with you.
542	I was a bit rusty but I didn't want to miss the elections back home.
543	I was going to call you but I hate to bother your holiday.
544	I was out Thurs.
545	I was planning on calling you after I saw your revisions.
546	I was planning to attend.
547	I was runner-up three times.
548	I was selfish in what I did.
549	I was trying to remember what Bobby said.
550	I wasn't as prepared as I will be this year.
551	I wasn't sure that you received the first e-mail.
552	I will add this to the folder and let you know when we get into it.
553	I will be back Friday.
554	I will be checking up with Lisa.
555	I will be out on Friday, but any other day is fine.
556	I will be taking the first week in December off, though.
557	I will be there.
558	I will be thinking of you.
559	I will bring John Brindle.
560	I will bring the pillow back tomorrow and get with you then.
561	I will call in 20 to 30 minutes.
562	I will call you Monday morning to discuss.
563	I will fax the invoice to you today.
564	I will follow up with him as soon as the dust settles.
565	I will get the gathering to Gloria tomorrow.
566	I will handle this afternoon.
567	I will if I want to.
568	I will likely not be available.
569	I will need to get you set up in their system prior to Tuesday.
570	I will need to have my memory refreshed.
571	I will not be available.
572	I will not make the meeting at 1 PM.
573	I will review them on Monday.
574	I will tell them.
575	I will try and find out.
576	I will try to expedite payment tomorrow.
577	I will try to make sure I'm in good shape.
578	I wish he would leave Deerfield alone.
579	I won't be home until 6.
580	I wonder if RBS is another institution which could move quickly.
581	I worked on the grade level promotion.
582	I would assume this week sometime.
583	I would be glad to participate.
584	I would expect an answer ASAP.
585	I would like it paid through I Buy It.
586	I would like to attend if so.
587	I would like to be on the list if possible.
588	I would like to discuss.
589	I would like to see some of the drivers at our game.
590	I would love to help you guys with this imbalance.
591	I would love to take Dawn and Sara riding.
592	I would not say I have guaranteed my final place.
593	I would suggest you and Mark address this together.
594	I wouldn't say I'm 100 percent but I'm darn close.
595	I wouldn't worry about coming in today.
596	I'll ask, he just came by.
597	I'll be up to nine or 10 by Saturday.
598	I'll bug Holloway and let you know what he says.
599	I'll call you in the morning.
600	I'll call you when I get to the office.
601	I'll catch up with you tomorrow.
602	I'll come have a beer with you guys later.
603	I'll email her later tonight.
604	I'll find someone to do it.
605	I'll get busy now and hopefully email you later today.
606	I'll get with him by phone to confirm.
607	I'll get you one.
608	I'll give him 10.
609	I'll give it to you tomorrow.
610	I'll just have her call Tracy.
611	I'll keep it in miles.
612	I'll keep you posted.
613	I'll let you know after lunch.
614	I'll presume it is dead until I hear otherwise.
615	I'll probably page you.
616	I'll send you a check.
617	I'll send you minutes.
618	I'll take them one at a time.
619	I'll take up my problem with weak Scott H.
620	I'll talk to you on Monday.
621	I'll try and get to this later today.
622	I'm at the doctor's office, should be in later.
623	I'm fully recovered and back on pace.
624	I'm glad she likes her tree.
625	I'm glad you are involved!
626	I'm glad you liked it.
627	I'm going to class.
628	I'm in Stan's office.
629	I'm in a meeting until noon.
630	I'm leaving around noon tomorrow to catch a flight.
631	I'm looking forward to the long weekend!
632	I'm not close enough right now to the discussion.
633	I'm not planning on doing anything this week.
634	I'm not sure if they are issuing any wires at this time.
635	I'm on a conference call.
636	I'm on a plane.
637	I'm on my way back there to do so.
638	I'm optimistic, yes, but confident, no.
639	I'm pleased with my speeds.
640	I'm still in Dallas!
641	I'm still in FW.
642	I'm still learning about the ovals.
643	I'm taking Wednesday off.
644	I'm telling you in advance, so don't act surprised.
645	I'm trying to get them billed before the holidays.
646	I'm very sorry about that mix up.
647	I'm waiting until she comes home.
648	I'm working on a liquidity forecast.
649	I'm working on your other emails next.
650	I've never been to the speedway, but if they come, I will go there.
651	I've never worked with her.
652	I've sort of lost track of what all I've received.
653	ITT owns the Sheraton hotel chain.
654	Ibrahim sent arms and explosives by sea to the Indian west coast.
655	If Motley is in we are out of money.
656	If he'll sign no issues with Barclays.
657	If it needs to be paid, we will need to add the day to the deal.
658	If lunch doesn't work then how about coffee?
659	If not can I call you?
660	If possible, I'd like to get Amy's opinion.
661	If she calls me yet today, I'll let you know.
662	If so Whitt is done.
663	If so he probably will have to pay back.
664	If so what was it?
665	If the Penskes have any luck at all, they could be unstoppable.
666	If we don't get it, could be trouble.
667	If you have questions, please send an email to Enron.
668	If you need John speak up now.
669	If your reasonable, I'll bereasonable.
670	In a couple of weeks.
671	In a meeting with your guys now.
672	In a separate room, next door.
673	In his last years he had been living at the nursing home.
674	In his third season, Booker has become a superb Fantasy wideout.
675	In isolation, all of these things are trivial.
676	In the end, we chose to keep our traditional method.
677	Indy time trials begin Saturday.
678	Interesting, are you around for a late lunch?
679	Iraq is particularly keen on getting rid of the oil embargo.
680	Is Cassandra there today?
681	Is she done yet?
682	Is that enough for this week?
683	Is this cash coming into TW?
684	Is this the conference rate?
685	Is this the only time available?
686	Isn't that about the way it could happen?
687	It carries a lot more excitement for the driver.
688	It doesn't match your spreadsheet.
689	It is definitely time to give up on the disappointing wideout.
690	It is not a matter of imposing a peace plan on the parties.
691	It is not surprising.
692	It is very unlikely that patrons of tour operators are troublemakers.
693	It looks like there are three new demand charges.
694	It must be accompanied by increased productivity.
695	It reads like she is in.
696	It should save the taxpayers a considerable amount of money.
697	It stands to reason that I will eventually win.
698	It was great to finally meet you.
699	It was possible to a large extent to agree on some kind of approach.
700	It was the best dinner table conversation we've had in a long time.
701	It was very nice.
702	It wasn't an easy day to play.
703	It will all be public someday.
704	It will also protect the interest of the businessman.
705	It will probably be tomorrow.
706	It would be great if I could have the files by the 18th or 19th.
707	It would be wise to keep him inactive until he is effective in a game.
708	It would lessen that anxiety that the officers are faced with.
709	It's a shame to have to miss one or the other.
710	It's all about making the whole story public.
711	It's going to be a tough weekend.
712	It's going to be ludicrous.
713	It's incredibly demanding here.
714	It's just very confusing at first.
715	It's kind of fun to see an old rivalry back again.
716	It's not looking too good is it?
717	It's not working very well.
718	It's quite a weekend.
719	It's really just technicalities.
720	It's still going on - quite boring though.
721	It's this issue's featured eBook.
722	It's too involved out here on Saturday with everybody qualifying.
723	Its revenues last year reached 3.2 billion dollars.
724	Jackie Adams is trying to get this done today.
725	Jacksonville's secondary is thin because of injuries.
726	Jan has a lot of detail.
727	Jan, sorry for the inconvenience.
728	Jane, what about this Thursday for lunch?
729	Japan's first man in space was a journalist.
730	Jason Brookins will start at running back if Allen is inactive.
731	Jeff had been serving as chairman and CEO of Enron Industrial Markets.
732	Jeff, attached is my resume.
733	Jets secondary on Sunday.
734	Jiang made the comments in a meeting with Malaysian Prime Minister.
735	Jim please confirm to Vince you are happy.
736	Joel will handle this.
737	John is out today, but will be back in the office tomorrow.
738	John this message concerns me.
739	John, can you give Konni a call?
740	John, please send this to Shelly.
741	Jones executive vice president and chief operating officer.
742	Jordan is taking her last job, corporate development.
743	Juntao is in Washington this week  meeting with lawmakers.
744	Juppe arrived in Washington on Wednesday.
745	Juppe described Emile Jonassaint as a puppet with no legitimacy.
746	Juppe met with the president at the Oval office.
747	Juppe said such a force was in the process of being sent to Haiti.
748	Just bought out Toys R Us.
749	Just don't start him against the stifling Ravens defense this week.
750	Just in case we haven't invited any of them.
751	Just playing with you!
752	Just thought you oughta know.
753	Just told them I thought it would be impossible.
754	Just wanted to touch base.
755	Kay Mann is going to take the lead on this.
756	Keep him in mind as a No.
757	Kelly,I'm gonna be early this week.
758	Kim, here's the PSCO website address.
759	Kind of like silent fireworks.
760	Ladies, I am finished with July 01 and everything ties.
761	Ladies, here's the revised September purchase.
762	Lance and I have the same chance to win.
763	Last week Ballesteros had 16 pars and two birdies in his final round.
764	Last week we reported third quarter earnings.
765	Last year I made some mistakes here.
766	Later works dealt with ethical concerns in the modern world.
767	Laveranues Coles will be the top receiver in his absence.
768	Lavo called it, never mind though.
769	Leaks have indicated that Clinton has narrowed his choice.
770	Let Gary Smith know today if you want him.
771	Let me consult my partner and get back with you in the morning.
772	Let me know either way.
773	Let me know how I can help.
774	Let me know if I can be of help.
775	Let me know if I can help.
776	Let me know if I miss anything.
777	Let me know if it doesn't go away.
778	Let me know if there are any other problems with this.
779	Let me know if this is possible or where else I might find these.
780	Let me know if you can't open it.
781	Let me know if you do not hear from them in the next couple of days.
782	Let me know if you have any problems.
783	Let me know if you have any questions.
784	Let me know if you have further questions.
785	Let me know if you have more questions.
786	Let me know if you need anything else.
787	Let me know if you need further information.
788	Let me know if you see any problems with this.
789	Let me know what you want to do.
790	Let me know when you get this.
791	Let me know where you might be.
792	Let me know which day is good for you.
793	Let us not invite unnecessary irritants to this relationship.
794	Let's have this meeting today or tonight.
795	Let's leave it until we get going.
796	Let's think out of the box.
797	Let's wait until Monday.
798	Lisa now has everything.
799	Liverpool always had a knack of bringing people down to earth.
800	Liverpool failed again in when they were beaten at Wembley.
801	Look for McCardell to play well this week and catch a lot of passes.
802	Look for him to throw for over 200 yards and a score.
803	Look for this trend to continue when he faces the San Diego.
804	Looking for some gift hints from you.
805	Louis defensive backs should be able to match his downfield speed.
806	Louis despite the return of Drew Bledsoe.
807	Louis featured back this weekend against the N.
808	Louis, posting five catches for 35 yards and two scores.
809	Lusinchi is currently in Boston, MA, according to his attorney.
810	Lynn checked with Fran and she told her coordinator.
811	Lynn, got to the office OK.
812	Make sure they are current.
813	Man I don't want to get sick again.
814	Mansell has not forgotten what the ovals have meant to him, however.
815	Mansell went on to five Indy-car triumphs.
816	Many earlier ceasefire accords have been broken.
817	Many townspeople who had gathered earlier on the main road.
818	Marisa sent the invoices.
819	Mark, Susan said to go ahead and expense the cell phones.
820	Mark, please take a look and let me know if you have any questions.
821	Market analysts said that the ratio was rising.
822	Martha Stewart will not be dining with us this Thanksgiving.
823	Maybe stuff we do more of next year.
824	Maybe traffic will be light on Thursday.
825	Maybe you can leave early.
826	Megan, I'm a little too quick for myself.
827	Megan, I'm not sure why this is showing up.
828	Megan, try this for Phillips.
829	Megan, we only bought this on KN for the 30th.
830	Met with partners in San Francisco.
