participant_id	test_section_id	sentence	user_input	keystroke_id	press_time	release_time	letter	keycode	press_to_release	press_to_press	timestamp_error_code	timestamp_error_code_1_this_sent
753	7793	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	375484	1471945441286	1471945439677	o	79	-1609	492	1	TRUE
757	7591	I will call you Monday morning to discuss.	I will call you Monday morning to discuss.	366015	1471945319653	1471945337378	m	77	17725	-7491	3	NA
757	7658	I hope you are feeling better.	I hope you are feeling better.	369131	1471945395479	1471945406488	a	65	11009	-2659	3	NA
757	7801	Andy Fastow will be on a leave of absence from the company.	Andy Fastow will be on a leave of absence from the company.	375259	1471945560273	1471945574987	s	83	14714	-2539	3	NA
832	8281	The Auction this year is hosted by EGS.	The Auction this year is hosted by EGS.	397563	1471946135296	1471946149063	NA	83	13767	-8307	3	NA
838	8582	What do you show as the storage schedule?	What do you show as the storage schendule?	412070	1471982406893	1471982442491	NA	191	35598	-16373	3	NA
1030	10729	Maybe you can leave early.	Maybe you can leave early.	514106	1471948837692	1471948867877	.	190	30185	-22941	3	NA
1127	11596	If so he probably will have to pay back.	If so he probably will have to pay back.	555525	1471950267680	1471950270417	SHIFT	16	2737	-517	3	NA
1269	13040	If lunch doesn't work then how about coffee?	If lunch doesn't work then how about coffee?	624774	1471952223616	1471952252048	?	191	28432	-7663	3	NA
1388	14192	Thank you for your support.	Thank you for your support.	679725	1471953757587	1471953762578	CAPS_LOCK	20	4991	-355	3	NA
1466	14920	Lynn, got to the office OK.	Lynn,got to the office OK	713944	1471954710804	1471954711152	SHIFT	16	348	-2250	3	NA
1466	14959	The reality is there is much less of an advantage than people think.	The reality is there is mush less of an advantage than people think.	716225	1471954768313	1471954761988	s	83	-6325	65	1	TRUE
1503	15479	The team mate says were not interested at this point.	The team mate says were not interested at this point.	740375	1471955182992	1471955201307	a	65	18315	-14273	3	NA
1511	15466	The ceremony was followed by the premiere of the opening film.	The ceremony was followed by the premiere of the opening film.	740405	1471955175581	1471955199235	.	190	23654	-6893	3	NA
1570	16159	I still believe a September 30 closing is unrealistic.	I still believe a September 30 closing is unrealistic.	773431	1471956033772	1471956033919	SHIFT	16	147	-119825	3	NA
1585	16324	The administration had no immediate comment on the vote.	the administration had no immediate comment on the vore	780763	1471956209134	1471956224438	r	82	15304	-7306	3	NA
1957	19909	The rates would become effective after endorsement by parliament.	The rates would become effective after endorsement by parliament. 	949905	1471959872509	1471959884715	l	76	12206	-7808	3	NA
2022	20474	These are big storms and traffic isn't moving.	These are big storms and traffic isn't moving.	976997	1471960365351	1471960395188	v	86	29837	-14413	3	NA
2023	20615	Kelly,I'm gonna be early this week.	Kelly, I'm gonna be early this week.	982839	1471960471629	1471960489643	'	222	18014	-13421	3	NA
2121	21641	Sounds good to me.	Sounds good to me.	1031782	1471961265153	1471961267937	SHIFT	16	2784	-109	3	NA
2121	21713	He is suffering from a strained left shoulder.	He is suffering from a strained left shoulder,.	1035455	1471961292665	1471961297458	SHIFT	16	4793	-63	3	NA
2153	21782	Let's wait until Monday.	Let's wait until mOnday.	1038216	1471961309307	1471961317842	'	222	8535	-6063	3	NA
2155	22057	The film will be shown for the first time.	The film will be shown for the first time.	1051781	1471961437744	1471961440016	SHIFT	16	2272	-89	3	NA
2159	21930	I am freaking out!	Iam freaking out!	1045576	1471961375345	1471961382785	a	65	7440	-5184	3	NA
2206	22464	Market analysts said that the ratio was rising.	Market analysts said that the ratio was rising."	1071682	1471961682470	1471961703589	NA	190	21119	-9168	3	NA
2255	23259	Lusinchi is currently in Boston, MA, according to his attorney.	Lusinchi is currently in Boston, MA, according to his attorney.	1108732	1471962363854	1471962367722	SHIFT	16	3868	-188	3	NA
2282	23465	Theresa - Please resend.	Theresa - Please resend.\	1119794	1471962509573	1471962531003	.	190	21430	-9306	3	NA
2317	23669	The agreement has been approved by the Senate and House.	The agreement has been approved by the Senate and House.	1129626	1471962676552	1471962702512	u	85	25960	-9950	3	NA
2421	25179	I have a request.	I have a request.	1203679	1471963844129	1471963864569	.	190	20440	-11761	3	NA
2450	25322	Man I don't want to get sick again.	Man I don't want to get sick again.	1210651	1471963971709	1471963983724	.	190	12015	-6997	3	NA
2450	25355	Toomer has been inconsistent this season.	Toomer has  been inconsistent this season.	1212473	1471963985001	1471964008246	.	190	23245	-16289	3	NA
2455	25483	She called and wants to come over this AM.	She called and wants to come over this AM.	1218751	1471964092373	1471964108774	.	190	16401	-8739	3	NA
2532	26107	I like Nick and Everett.	I like Nick and Everett.	1248986	1471964706104	1471964722297	.	190	16193	-10865	3	NA
2532	26191	He said he saw no damage to the airport.	He said he saw no damage to the airport.	1253200	1471964761805	1471964804639	.	190	42834	-35834	3	NA
2827	29932	This is the neatest toy I have had.	This is the neatest toy I have.	1430432	1471967208341	1471967213513	SHIFT	16	5172	-1047	3	NA
3066	32382	Mansell has not forgotten what the ovals have meant to him, however.	Mansell has not fporgotten what the ovals have meant to him, how ever.	1544534	1471969299347	1471969303354	SHIFT	16	4007	-250	3	NA
3088	32572	Presumably so do you.	Presumably so do you.	1554279	1471969456066	1471969488602	.	190	32536	-17376	3	NA
3088	32644	Bound to be some media flack on this.	Bound to be some media flack on this.	1557620	1471969507626	1471969547738	.	190	40112	-23240	3	NA
3226	34085	That's a lot of dollars.	That's a lot of dollars.	1625264	1471970798119	1471970800451	SHIFT	16	2332	-128	3	NA
3415	36196	I cannot figure out where these prices are coming from.	I cannot figyre out whare these prices are coming from.	1727758	1471972376064	1471972385999	SHIFT	16	9935	-687	3	NA
3431	36432	I hadn't done that for a while - too busy, I guess.	I hadn't done that for a while - too busy, I guess.	1739586	1471972516278	1471972523770	a	65	7492	-3536	3	NA
3437	36246	I know my way around the hospital better than I do the stadium.	I know my way around the hospital better than I do the stadium.	1730613	1471972385786	1471972424873	.	190	39087	-23750	3	NA
3472	36912	France would not join a US military invasion of Haiti.	France would not join a US military invasion of Haiti.	1763720	1471972864625	1471972895621	.	190	30996	-17117	3	NA
3498	37209	Hope that you have a great TG.	Home that you have a great TG.	1777627	1471973171829	1471973190312	.	190	18483	-7683	3	NA
3608	38194	The local forecasters are showing rain for Thanksgiving here.	The local forecasters are showing rain for Thanksgiving here.	1825528	1471973909493	1471973933760	.	190	24267	-14890	3	NA
3626	38425	Seifert said he didn't know if Weinke would practice Thursday.	Seifert said he didn't know if Weinke would practice thursday.	1835973	1471974110551	1471974115368	SHIFT	16	4817	-2054	3	NA
3657	38815	Currently, we are focusing our resources on domestic sites.	Currently, we are focusing our resourced on domestic sites.	1854603	1471974162864	1471974161983	e	69	-881	154	1	TRUE
3657	38890	The alleged offences occurred before Alan Sugar took control.	The alleged offences occurred before Alan Sugar took control.	1859133	1471974221949	1471974221039	o	79	-910	155	1	TRUE
3805	40417	I think I'm OK.	I think I'm OK.	1929343	1471975528194	1471975533434	'	222	5240	-1104	3	NA
3831	40697	I'll probably page you.	I'll probably page you.	1942669	1471975790960	1471975833160	NA	222	42200	-34664	3	NA
3864	41238	He will be re-evaluated after receiving an injection.	He will be re-evaluated after receiving an injection	1968707	1471976345960	1471976349496	SHIFT	16	3536	-584	3	NA
3934	41807	It is not surprising.	It is not surprising.	1996257	1471976816085	1471976863872	TAB	9	47787	-30453	3	NA
4009	42442	Thank you for your support.	Thank you for your support.	2025998	1471977402114	1471977413466	NA	190	11352	-5856	3	NA
4070	43005	Sure was good talking to you this AM.	Sure was  good talking to you this AM.	2052735	1471981779483	1471981790843	NA	84	11360	-2049	3	NA
4070	43016	Fuel surcharges, if applicable are included in the fees listed.	Fuel surcharges, if applicable are included in the fees listed.	2053762	1471981792075	1471981805091	NA	84	13016	-960	3	NA
4070	43039	You have 6 active players at position WR.	You have 6 activa players at the position WR.	2054523	1471981808531	1471981815219	NA	84	6688	-440	3	NA
4070	43057	I appreciate you moving so quickly on this.	I appreciate you moving so quickly on this.	2055056	1471981818651	1471981823971	NA	84	5320	-1600	3	NA
4070	43068	The agreement has been approved by the Senate and House.	The agreement has been approved by the Senate and House.	2055484	1471981827596	1471981830747	NA	84	3151	-648	3	NA
4070	43084	It is not surprising.	It is not surprising.	2056202	1471981838531	1471981842998	NA	84	4467	-1793	3	NA
4070	43091	We just need a sitter.	We just need a sitter.	2056507	1471981843547	1471981848211	NA	84	4664	-1544	3	NA
4070	43098	I will review them on Monday.	I will review them on Monday.	2056778	1471981849355	1471981853547	NA	84	4192	-416	3	NA
4070	43128	We've already eliminated his speech therapy.	We've already eliminated his speech therapy.	2058392	1471981853387	1471981883379	NA	84	29992	-22296	3	NA
4070	43141	I'm working on your other emails next.	I'm working on your other emails next.	2058924	1471981885332	1471981892355	NA	84	7023	-2800	3	NA
4070	43146	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek convention and sports memorabilia show to the mix.	2059234	1471981893931	1471981897531	NA	84	3600	-209	3	NA
4070	43166	I am working on the November producers today as a matter of fact.	I am working on the November producers today as a matter of fact.	2060368	1471981906035	1471981915275	NA	84	9240	-1273	3	NA
4086	43419	Tiger Woods is set to answer your questions.	Tiger Woods is set to answer your questions.	2073094	1471978267798	1471978295404	.	190	27606	-12659	3	NA
4159	44218	Giants due to an ankle injury.	Giants due to an ankle injury.	2109071	1471978761859	1471978766706	a	65	4847	-2126	3	NA
4159	44231	That was how Mansell learned passing was allowed on the oval.	That was how Mansell learned passing was allowed on the oval.	2109640	1471978761240	1471978776955	h	72	15715	-13051	3	NA
4159	44251	Police and the alleged bank robbers exchanged fire.	Police and the alleged bank robbers exchanged fire.	2110752	1471978788251	1471978799051	t	84	10800	-2733	3	NA
4159	44264	Try it again and let me know.	Try it again and let me know.	2111353	1471978798938	1471978809693	t	84	10755	-8719	3	NA
4159	44275	I may take the opportunity to run some errands.	I may take the opportunity to run some errands.	2111824	1471978804530	1471978820144	h	72	15614	-11363	3	NA
4159	44284	That is not true.	That is not true.	2112376	1471978820066	1471978831552	h	72	11486	-9001	3	NA
4159	44289	He agrees that they are not showing the correct equation.	He agrees that they are not showing the correct equation.	2112556	1471978831507	1471978836469	h	72	4962	-2802	3	NA
4159	44301	Yes I am here actually.	Yes I am here actually.	2113186	1471978842814	1471978853704	h	72	10890	-5041	3	NA
4159	44308	The volumes tie, so the pricing must be off somewhere.	The volumes tie, so the pricing must be off somewhere.	2113420	1471978853614	1471978858958	h	72	5344	-2970	3	NA
4419	47119	Why do you ask?	Why do you ask?	2245622	1471980936688	1471980969897	NA	87	33209	-30581	3	NA
4419	47129	Let me know if you have further questions.	Let me know if you have further questions.	2246274	1471980969805	1471980977897	NA	87	8092	-3365	3	NA
4419	47174	Please call tomorrow if possible.	Please call tomorrow if possible.	2249199	1471980977833	1471981016177	NA	87	38344	-31349	3	NA
4419	47191	How soon do you need it?	How soon do you need it? 	2249718	1471981016125	1471981024034	NA	87	7909	-3045	3	NA
4457	47481	Good to know it exists.	Good to know it exists.	2263830	1471981226222	1471981226183	w	87	-39	78	1	TRUE
4652	49588	I wouldn't worry about coming in today.	I wouldn't worry about coming in today.	2364334	1471982894109	1471982932551	'	222	38442	-33246	3	NA
4769	50799	Do you need it today?	Do you need it today?	2419786	1471983927555	1471983951858	?	191	24303	-20447	3	NA
4814	51406	The cabinet Thursday approved a revised tariff schedule.	The cabinet Thursday approved a revised tariff schedule.	2447351	1471984420513	1471984424887	SHIFT	16	4374	-1991	3	NA
5038	53491	New switches can also be added to the Paging System.	New switches can also be added to the Paging System.	2543925	1471986406636	1471986456411	.	190	49775	-30448	3	NA
5204	55408	I'm glad you are involved!	I'm glad you are involved!	2635186	1471988311494	1471988356018	NA	222	44524	-37892	3	NA
5213	55350	No sign of Chuck and not responding to messages.	No sign of Chuck and not responding to messages.	2632318	1471988275438	1471988294438	.	190	19000	-9151	3	NA
5222	55393	We've already eliminated his speech therapy.	We've already eliminated his speech therapy.	2634637	1471988321154	1471988345578	.	190	24424	-12667	3	NA
5222	55405	Do we need to discuss?	Do we need to dicuss?	2634895	1471988333917	1471988352009	/	191	18092	-11357	3	NA
5332	56741	You can reply via email.	You can reply via email.	2699365	1471989441323	1471989470779	.	190	29456	-22204	3	NA
5332	56788	Jeff had been serving as chairman and CEO of Enron Industrial Markets.	Jeff had been serving as chairman and CEO of Enron Industrial Markets.	2702766	1471989482564	1471989520723	.	190	38159	-14231	3	NA
5376	57406	This is a major setback for the rookie.	This is a major setback for the rookie.	2730727	1471989946015	1471989950252	SHIFT	16	4237	-2063	3	NA
5408	57783	Hours are listed in 24hr format central time.	Hours are listed in 24hr format central time.	2749099	1471990164111	1471990166030	SHIFT	16	1919	-80	3	NA
5425	58093	The senate would require them to create a US subsidiary.	The senate would require them to create a US subsidiary.	2763106	1471990669681	1471990695555	.	190	25874	-8062	3	NA
5511	59096	Reggie Wayne will start in Pathon's place once again.	Reggie Wayne will start in Pathon's place once again.	2810613	1471991536341	1471991563533	\	220	27192	-15096	3	NA
5528	59389	Fares shown are roundtrip.	Fares shown are roundtrip.	2824670	1471991832797	1471991835447	SHIFT	16	2650	-172	3	NA
5606	60291	Many townspeople who had gathered earlier on the main road.	Many towns people who had gathered earlier on the main road.	2868506	1471992863443	1471992866586	SHIFT	16	3143	-113	3	NA
5752	61759	We tried to copy it and it worked for us.	We tried to copy it and it woked for us	2939810	1471994726586	1471994774061	k	75	47475	-37789	3	NA
5765	61852	A bad thing has been turned into a good thing and.	A bad thing has been turned into a good thing and.	2943604	1471994852666	1471994855241	SHIFT	16	2575	-80	3	NA
5801	62164	Washington was not moving toward a unilateral lifting of the embargo.	Washington was not moving toward a untlateral lifting of the embargo.	2959155	1471995166658	1471995187429	.	190	20771	-6297	3	NA
5802	62303	Later works dealt with ethical concerns in the modern world.	Lagter works dealt with ethical concerns in the modern world.	2965199	1471995311194	1471995315493	SHIFT	16	4299	-74	3	NA
5842	62640	History repeated itself last season when Tenerife beat Madrid.	History repeated itself last season when Tenerife beat Madrid.	2981742	1471995578988	1471995596135	.	190	17147	-7541	3	NA
5842	62682	I haven't visited with Stan lately.	I haven't visited with Stan lately.	2983608	1471995604768	1471995615691	.	190	10923	-5214	3	NA
5842	62759	The senate would require them to create a US subsidiary.	The senate would require them to create a US subsidiary. 	2987247	1471995642803	1471995661111	.	190	18308	-10073	3	NA
5961	64242	Our reform and opening programme has forged ahead.	Our reform and opening prgramme has forged ahead.	3058101	1471997104894	1471997142451	.	190	37557	-25739	3	NA
5961	64303	We're working with the speedway.	We're working with the speedway.	3060716	1471997185906	1471997203959	.	190	18053	-10080	3	NA
6026	64834	This time, Nigel Mansell will not be left behind on a restart.	This time, Nigel Mansell will not be left behind on a restart.	3085657	1471998020874	1471998025621	i	73	4747	-2480	3	NA
6042	65140	I think that we should enforce the agreement.	I think that we should enforce the agreement.	3099809	1471998443514	1471998448661	NA	72	5147	-1483	3	NA
6042	65145	I think these will be just fine.	I think these will be just fine.	3100153	1471998452945	1471998458068	NA	72	5123	-2017	3	NA
6042	65149	Make sure they are current.	Make sure they are current.	3100444	1471998459521	1471998467382	NA	72	7861	-3061	3	NA
6070	65418	Rumors have him scheduled to attend at least part of the Pacers' game.	Rumors have him scheduled to attend at least part of the Pacers' game.	3112656	1471998874535	1471998878784	SHIFT	16	4249	-1322	3	NA
6081	65455	Can you do the Gallup contracts as well?	Can you dot he Gallup contracts as well?	3114570	1471998900140	1471998913334	l	80	13194	-9178	3	NA
6081	65464	Sports fans here are excited.	Sports fans here are excited.	3114866	1471998913194	1471998918556	p	80	5362	-3180	3	NA
6081	65469	Hope you had a good weekend.	Hope you had a good weekend.	3115185	1471998918350	1471998924551	p	80	6201	-3392	3	NA
6081	65474	Some of us may have have acted as critics at one point or another.	Some of us may have have acted as critics at one point or another.	3115787	1471998924391	1471998936171	p	80	11780	-2415	3	NA
6081	65496	Please set something up.	Please set something up. 	3116261	1471998935949	1471998947191	p	80	11242	-9440	3	NA
6086	65604	You are welcome in Palacios this weekend, of course.	You are welcome in Palacios this weekend, of course.	3120780	1471999054963	1471999057482	SHIFT	16	2519	-63	3	NA
6098	65735	How did you make sure it was the right set?	How did you make sure it wsa the righ set ?	3127426	1471999149615	1471999169002	?	191	19387	-11688	3	NA
6160	66285	It's incredibly demanding here.	It's incredibku demanfing here.	3153265	1471999741986	1471999740124	h	72	-1862	709	1	TRUE
6292	67634	For safety reasons, the turkey will be carved in a private ceremony.	or safety reasons, the turkey will be carved in a private ceremony.	3217856	1472001074559	1472001080785	o	79	6226	-728	3	NA
6292	67704	We shall try to find a common agenda.	We shal try to find a common agenda.	3220999	1472001167484	1472001172980	 	32	5496	-852	3	NA
6292	67804	Isn't that about the way it could happen?	Isn't that about the way it cold happen?	3225530	1472001284528	1472001309047	l	76	24519	-11352	3	NA
6308	67884	Sure was good talking to you this AM.	Sure was good talking to you this AM.	3229108	1472001421277	1472001434140	.	190	12863	-5705	3	NA
6314	68029	I think this move will not overcome the problem.	I think this move will nor overcome the problem.	3236410	1472001568989	1472001612012	.	190	43023	-19353	3	NA
6485	69903	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	3324905	1472003685638	1472003690937	r	82	5299	-768	3	NA
6485	69924	Drop him if he was on your Fantasy roster.	Drop him if he was on your Fantasy roster.	3325757	1472003696983	1472003706563	r	82	9580	-6621	3	NA
6485	69946	Robert ,I'm working on this right now.	Robert, I'm working on this right now.	3326608	1472003720418	1472003723233	r	82	2815	-208	3	NA
6485	69956	Here's the September purchase for September.	Here's the September purchase for September.	3327343	1472003731317	1472003736292	r	82	4975	-1808	3	NA
6485	69979	Please send to Gary Smith.	Please sent to Gary Smith.	3328654	1472003745514	1472003759981	a	72	14467	-5761	3	NA
6485	69989	Here's your Gas Daily pricing.	Here's your Gas Daily pricing.	3328886	1472003757320	1472003763846	r	82	6526	-3414	3	NA
6485	70004	Take what you can get.	Take what you can get.	3329727	1472003768697	1472003778044	H	72	9347	-4904	3	NA
6506	69893	Watch for more details, coming soon.	Watch for more details, coming soon.	3324535	1472003663086	1472003688056	.	190	24970	-17198	3	NA
6506	69921	We had some measurement of gas from Quantum throughout the month.	We had some measurement of gas from Quantum throughout the month.	3326017	1472003698391	1472003715579	.	190	17188	-4938	3	NA
6615	71176	We are looking at military assistance.	We are looking at military assistance.	3384793	1472004946982	1472004954510	NA	73	7528	-2228	3	NA
6615	71186	I haven't seen it yet.	I haven't seen it yet.	3385191	1472004958810	1472004963294	NA	73	4484	-1291	3	NA
6615	71195	It's going to be ludicrous.	It's going to be ledicrous	3385563	1472004966705	1472004970949	NA	73	4244	-1599	3	NA
6615	71212	See, we Americans had gotten sort of distracted.	See, we Americans had gotten sort of distracted.	3386080	1472004977207	1472004986052	NA	73	8845	-1808	3	NA
6615	71223	I'm on a conference call.	I'm on a conference call.	3386637	1472004992502	1472004997440	NA	73	4938	-2225	3	NA
6615	71232	I have 2 different ones.	I have 2 different ones.	3386952	1472004997367	1472005005503	NA	73	8136	-5601	3	NA
6615	71238	The Mercedes drivers ae likely to break the track records.	The mercedes driver are likely to break the track records.	3387554	1472005008039	1472005019132	NA	73	11093	-2798	3	NA
6615	71276	Juppe said such a force was in the process of being sent to Haiti.	Juppe said such a force in the process of beding sent to Haiti.	3389240	1472005024417	1472005050912	NA	73	26495	-20961	3	NA
6615	71302	A bad thing has been turned into a good thing and.	A bad thing has turnes into a good thing and.	3390385	1472005067792	1472005073858	NA	73	6066	-766	3	NA
6615	71316	I'm looking forward to the long weekend!	I'm looking forward to the long weekend!	3390992	1472005081138	1472005085624	NA	73	4486	-1712	3	NA
6615	71339	This method can be used on individual folders as well.	This method can be used on individual folders as well.	3391995	1472005096682	1472005108427	NA	73	11745	-8337	3	NA
6615	71356	We just need a sitter.	We just need a sitter.	3393140	1472005119666	1472005132489	NA	73	12823	-6098	3	NA
6615	71368	I decided that I am going to stay here!	I decided that I am going to stay here!	3393325	1472005132398	1472005136282	NA	73	3884	-1360	3	NA
6618	71239	I think that Pam Butler called him.	I think that Pam Butler called him. 	3387474	1472004986566	1472005010448	.	190	23882	-18804	3	NA
6618	71269	We don't recommend McNair this week as a result.	We don't recommend McNair this week as a result.	3388996	1472005020158	1472005040778	.	190	20620	-13015	3	NA
6636	71395	Out of office but have people working on info.	Out of office but have people working on info.	3394848	1472005145490	1472005162885	BKSP	8	17395	-5814	3	NA
6681	71965	That calendar was enough to put me on a diet.	That calendar was enough to out me on a diet.	3422250	1472005648862	1472005669439	.	190	20577	-7193	3	NA
6727	72583	The fighting erupted after a private quarrel.	The fighting erupted after a private quarrel.	3451892	1472002603651	1472002626851	.	190	23200	-14831	3	NA
6857	73782	Song was vice minister of the geology and mineral resources minister.	Song was vice minister of the geology ad mineral resources minister.	3508902	1472007728876	1472007771763	d	68	42887	-28579	3	NA
6921	74364	Ladies, here's the revised September purchase.	Ladies, here's the revised September purchase.	3536348	1472008231160	1472008236384	s	73	5224	-500	3	NA
6921	74379	Weather is bad here.	Weather is bad here.	3537118	1472008240541	1472008251718	i	73	11177	-5452	3	NA
6921	74385	I will bring the pillow back tomorrow and get with you then.	I will bring the pillow back tomorrow and get with you then.	3537346	1472008251609	1472008255964	i	73	4355	-1718	3	NA
6921	74395	Out of office but have people working on info.	Out of office but have people working on info.	3537949	1472008263918	1472008270382	i	73	6464	-2073	3	NA
6921	74406	What do you think?	What do you think?	3538465	1472008275212	1472008282112	i	73	6900	-786	3	NA
6921	74410	Has anyone else heard anything?	Has anyone else heard anything?	3538777	1472008281984	1472008289343	i	73	7359	-813	3	NA
6921	74419	He was recognized in his field as a pioneer.	He was recognized in his field as a pioneer.	3538999	1472008289222	1472008294568	i	73	5346	-613	3	NA
6921	74431	We just need a sitter.	We just need a sitter.	3539711	1472008301272	1472008308021	i	73	6749	-1089	3	NA
6921	74439	On the plane, doors closing.	On the plane, doors closing.	3540265	1472008307901	1472008320062	i	73	12161	-890	3	NA
6921	74450	Look for him to throw for over 200 yards and a score.	Look for him to throw for over 200 yards and a score.	3540530	1472008319949	1472008324839	i	73	4890	-969	3	NA
6921	74463	He said he saw no damage to the airport.	He said he saw no damage to the airport.	3541155	1472008324744	1472008335318	i	73	10574	-7457	3	NA
6921	74476	Until he can practice for a couple of weeks, we won't have him.	Until he can practice for a couple of weeks, we won't have him.	3541535	1472008339928	1472008343995	i	73	4067	-1326	3	NA
6921	74492	Have a good evening.	Have a good evening.	3542408	1472008354382	1472008360912	i	73	6530	-1523	3	NA
6921	74495	They have to go away and have a think.	They have to go away and have a think.	3542883	1472008360789	1472008369896	i	73	9107	-637	3	NA
7025	75504	I encourage each of you to attend or tune in tomorrow.	I encourage each of you to attend or tune in tommorow.	3592756	1472009600724	1472009609214	BKSP	8	8490	-5303	3	NA
7080	76278	He said he would resist all the pressure of time deadlines.	He said he would resist all the pressure of time deadlines.	3630137	1472010624476	1472010628443	CAPS_LOCK	20	3967	-559	3	NA
7132	76741	This is very sensitive.	This is very sensitive.	3652490	1472011082827	1472011117093	.	190	34266	-29220	3	NA
7141	76895	It's a shame to have to miss one or the other.	It's a shame to have to miss one or ther other.	3659855	1472011249933	1472011261397	.	190	11464	-4448	3	NA
7203	77565	The prime minister is to meet with several Security Council members.	The prime minister is to meet with several Security Council members.	3691708	1472011973403	1472011996503	.	190	23100	-7985	3	NA
7203	77633	I'll give him 10.	I'll give him 10.	3694184	1472012022367	1472012046390	.	190	24023	-19392	3	NA
7322	79035	Did you ever hear anything?.	Did you ever hear anything?.	3760084	1472013476649	1472013475203	t	84	-1446	122	1	TRUE
7322	79212	There were frequent electricity and water shortages.	There were frequent electricity and water shortages.	3768771	1472013711766	1472013710747	e	69	-1019	104	1	TRUE
7490	80744	Interesting, are you around for a late lunch?	Interesting, are you around for a late lunch?	3841770	1472015772580	1472015780186	a	65	7606	-479	3	NA
7490	80759	The statement gave no further details of the incident.	The statement gave no further details of the incident.	3842445	1472015783125	1472015799646	a	65	16521	-11978	3	NA
7490	80767	The four-city tour continues Friday in Kansas City, Missouri.	The four-city tour continues Friday in Kansas City, Missouri.	3843249	1472015804134	1472015822111	a	65	17977	-4299	3	NA
7490	80780	The cause of the fire was under investigation, police said.	The cause of the fire was under investigation, police said.	3843695	1472015824471	1472015834749	a	65	10278	-3706	3	NA
7490	80792	I just faxed copies of the invoices to you.	I just faxed copies of the invoices to you.	3844374	1472015849382	1472015855377	a	65	5995	-525	3	NA
7490	80803	I am out of town on business.	I am out of town on business.	3844810	1472015855248	1472015868436	a	65	13188	-8556	3	NA
7490	80811	Hours are listed in 24hr format central time.	Hours are listed in 24hr format central time.	3845065	1472015868283	1472015878351	a	65	10068	-3990	3	NA
7490	80817	We shall try to find a common agenda.	We shall try to find a common agenda.	3845520	1472015885421	1472015893464	a	65	8043	-955	3	NA
